Title,Reference,Company,Experience,Salary,Location,Job Description,Skills Required,Posted Date,Duration
Python Flask Developer,https://www.naukri.com/job-listings-python-flask-developer-techno-softwares-jaipur-0-to-1-years-310823500162,Techno Softwares,0-1 Yrs,Not disclosed,Jaipur,". Bachelors degree in computer science, engineering, or a related field . 0-1 years of ...","['Front end', 'Version control', 'GIT', 'Django', 'Web development', 'Javascript', 'HTML', 'Python']",3 Days Ago,N/A
Data Extraction Engineer- Python,https://www.naukri.com/job-listings-data-extraction-engineer-python-relu-consultancy-bhopal-madhya-pradesh-0-to-5-years-020923000077,Relu Consultancy,0-5 Yrs,4-6 Lacs PA,Remote,- Conduct web scraping using Python frameworks. - Work with various databases and RESTf...,"['Python', 'Automation', 'Scrapy', 'Django Rest Api', 'Api Integration', 'Data Extraction', 'Selenium', 'Web Scraping']",1 Day Ago,N/A
Python Intern,https://www.naukri.com/job-listings-python-intern-docsumo-mumbai-0-to-0-years-010923501814,Docsumo,N/A,Unpaid,Mumbai,N/A,[''],Starts in 1-3 months,No fixed duration
Trainee Software Developer,https://www.naukri.com/job-listings-trainee-software-developer-quickxpert-infotech-thane-navi-mumbai-mumbai-all-areas-0-to-3-years-230820000365,Quickxpert Infotech,0-3 Yrs,Not disclosed,"Thane, Navi Mumbai, Mumbai (All Areas)","Our clients are looking for trainee software developers in java, dotnet, python and web...","['Web Designing', 'SQL', 'fresher', 'html', 'C++', 'CSS', 'C', 'trainee']",3 Days Ago,N/A
Associate Software Developer,https://www.naukri.com/job-listings-associate-software-developer-westzone-software-chennai-tamil-nadu-0-to-1-years-030923002235,Westzone Software,0-1 Yrs,2.5-4 Lacs PA,"Hybrid - Chennai, Tamil Nadu","Preferred candidate profile Were seeking a candidate with 0-1 years of experience, skil...","['python', 'java', 'MySQL', 'Angularjs', 'Oracle SQL', 'Typescript', 'Django', 'Spring Boot']",Few Hours Ago,N/A
"Software Engineer, developer / Programmer, 2023 graduate Can also appl",https://www.naukri.com/job-listings-software-engineer-developer-programmer-2023-graduate-can-also-appl-creative-hands-hr-nagpur-maharashtra-pune-maharashtra-mumbai-all-areas-0-to-2-years-010923005747,Creative Hands HR,0-2 Yrs,5-7 Lacs PA,"Nagpur, Maharashtra, Pune, Maharashtra, Mumbai (All Areas)","Software Programmer / Developer Qualification- Diploma, BE / BTech IT, CSE, BCA, MCA, B...","['freshers', 'Software Engineering', 'software developer', 'c++', 'python', 'c', 'dotnet', 'software testing']",2 Days Ago,N/A
Software Engineer And Developer,https://www.naukri.com/job-listings-software-engineer-and-developer-madugai-info-tech-chennai-coimbatore-tamil-nadu-bangalore-bengaluru-0-to-5-years-030923002424,Madugai Info Tech,0-5 Yrs,2-7 Lacs PA,"Chennai, Coimbatore, Tamil Nadu, Bangalore/Bengaluru","Job descriptionBasic programming knowledge of Java, Dotnet, Python, C++, and Javascript...","['python', 'java', 'aws cloud', '.net', 'php', 'c++', 'troubleshooting', 'software engineering']",Just Now,N/A
Python Trainee,https://www.naukri.com/job-listings-python-trainee-quickxpert-infotech-mumbai-suburban-maharashtra-thane-navi-mumbai-kalyan-dombivli-maharashtra-mumbai-all-areas-0-to-5-years-250820004417,Quickxpert Infotech,0-5 Yrs,Not disclosed,"Mumbai Suburban, Maharashtra, Thane, Navi Mumbai, Kalyan/ Dombivli, Maharashtra, Mumbai (All Areas)",Our Client is Looking for Python Trainees for our clients. If interseted apply on naukr...,"['Python', 'bca', 'C++', 'CSS', 'C', 'bsc it', 'HTML', 'mca']",Today,N/A
Software Developer,https://www.naukri.com/job-listings-software-developer-cloudpath-infotech-llp-vijayawada-andhra-pradesh-visakhapatnam-vizag-andhra-pradesh-hyderabad-secunderabad-telangana-0-to-2-years-310823007801,Cloudpath Infotech Llp,0-2 Yrs,2.5-4 Lacs PA,"Vijayawada, Andhra Pradesh, Visakhapatnam/ Vizag, Andhra Pradesh, Hyderabad/ Secunderabad, Telangana",Other IT Related works. We prefer Male Candidates from Nearby LocationsPreferred candid...,"['python', 'java', 'full stack', 'spring', 'software development', 'html', 'mysql', 'Development']",3 Days Ago,N/A
"Software Trainee, Software Developer, Software Tester",https://www.naukri.com/job-listings-software-trainee-software-developer-software-tester-quickxpert-infotech-navi-mumbai-maharashtra-pune-mumbai-all-areas-0-to-4-years-200722006881,Quickxpert Infotech,0-4 Yrs,Not disclosed,"Navi Mumbai, Maharashtra, Pune, Mumbai (All Areas)",Our Client MarriageOnix.com is looking for Software Engineers in multiple technologies....,"['c++', 'software testing', 'HTML', 'SQL', 'java', 'bba', 'CSS', 'C']",3 Days Ago,N/A
Senior Java developers,https://www.naukri.com/job-listings-senior-java-developers-high-radius-hyderabad-secunderabad-0-to-5-years-010923004172,Highradius,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelor s Degree required in Computers. Experience Range : 5 to 10 years. Technology S...,"['c++', 'web services', 'java development', 'do', 'hibernate', 'vhdl', 'scalability', 'sql']",2 Days Ago,N/A
Full Stack Developer Programming Internship,https://www.naukri.com/job-listings-full-stack-developer-programming-internship-rock-solid-solutions-mumbai-0-to-0-years-010923003255,Rock Solid Solutions,0-0 Yrs,Not disclosed,Mumbai(Veera Desai Road),1 yr software programming paid internship opportunity Opportunity to apply your softwar...,"['IT Software - Programming', 'ROLE Intern', 'Fresher', 'Full Stack', 'Programming', 'Stack', 'Software', 'Development']",2 Days Ago,N/A
Embedded Software Developer (Jr. Engineer),https://www.naukri.com/job-listings-embedded-software-developer-jr-engineer-gladwin-techgen-new-delhi-delhi-0-to-5-years-020923005291,Gladwin Techgen,0-5 Yrs,4-7 Lacs PA,"New Delhi, Delhi(Mayapuri)","Role & responsibilities Sw Development, Test, Lead, QA Preferred candidate profile Cons...","['C++', 'Programming', 'Embedded Software', 'Coding', 'Mqtt', 'Java', 'C', 'Device Drivers']",1 Day Ago,N/A
Junior Data Scientist,https://www.naukri.com/job-listings-junior-data-scientist-wrtr-ink-llp-bangalore-bengaluru-0-to-2-years-030923002456,Wrtr Ink Llp,0-2 Yrs,4.75-8 Lacs PA,Bangalore/Bengaluru,Experience with SQL for data querying and manipulationPrior experience with data analys...,"['Data Science', 'analytical', 'Pandas', 'numpy', 'Statistics', 'Machine Learning', 'Deep Learning', 'Scikit-Learn']",Just Now,N/A
